J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n,Yao-Wang11,Wang-Yao44,He53,Chen55,
0.5,0.5,0,1.333333333,grd,0,-1,-1,-1,-1,-1
0.5,0.5,1,1.333333333,lam,1,-1,2.88,17.59,4.2,-1
1.5,0.5,1,1.333333333,lam,1,-1,2.95,15.77,2.9,-1
0.5,0.5,1,1.333333333,rho,1,-1,-1,-1,-1,-1
0.5,1.5,1,1.333333333,rho,1,-1,-1,-1,-1,-1
1.5,0.5,1,1.333333333,rho,1,-1,-1,-1,-1,-1
1.5,1.5,1,1.333333333,rho,1,-1,-1,-1,-1,-1
2.5,1.5,1,1.333333333,rho,1,-1,-1,-1,-1,-1
1.5,0.5,2,1.333333333,lam,2,6.8,-1,6.51,-1,-1
2.5,0.5,2,1.333333333,lam,2,7.11,-1,5.59,-1,-1
0.5,0.5,0,1.333333333,rpl,2,-1,-1,6.99,16.5,-1
0.5,0.5,0,1.333333333,rpr,2,-1,-1,-1,-1,-1
1.5,0.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
2.5,0.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
0.5,1.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,1.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
2.5,1.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
3.5,1.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
0.5,0.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
0.5,1.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,1.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
2.5,1.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,1.5,0,1.333333333,mix,2,-1,-1,-1,-1,-1
0.5,0.5,0,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,2,1.333333333,rho,2,-1,-1,-1,-1,-1
2.5,0.5,2,1.333333333,rho,2,-1,-1,-1,-1,-1
